Не	не=PRCL	не=PRCL
столь	столь=ADVB

Россияне	россиянин=NOUN,anim,masc,plur,nomn
могут	могу=VERB,impf,intr,plur,3per,pres,indc
стать	стать=INFN,perf,intr
совладельцами	совладелец=NOUN,anim,masc,plur,ablt
Facebook	Facebook=UNKN
.	.=PNCT

http://dan-i-ya.livejournal.com/108478.html?mode=reply	http://dan-i-ya.livejournal.com/108478.html?mode=reply=UNKN

до	до=PREP
ужаса	ужас=NOUN,inan,masc,sing,gent

—	—=UNKN
цитирует	цитирую=VERB,impf,tran,sing,3per,pres,indc
MIGnews.com	MIGnews.com=UNKN
Лариджани	лариджани=UNKN
.	.=PNCT

никому	никто=NPRO,sing,datv
крыса	крыса=NOUN,anim,femn,sing,nomn
не	не=PRCL
нужна	нужен=ADJS,Qual,femn,sing
?	?=PNCT

Социальная	социальный=ADJF,Qual,femn,sing,nomn
пирамида	пирамида=NOUN,inan,femn,sing,nomn
,	,=PNCT
подвешенная	подвешенный=PRTF,perf,tran,past,pssv,femn,sing,nomn
на	на=PREP
крючке	крючок=NOUN,inan,masc,sing,loct
.	.=PNCT

Dripping	Dripping=UNKN
.	.=PNCT

Адвокат	адвокат=NOUN,anim,masc,sing,nomn
нужен	нужен=ADJS,Qual,masc,sing
,	,=PNCT
врач	врач=NOUN,anim,masc,sing,nomn
нужен	нужен=ADJS,Qual,masc,sing
.	.=PNCT

Фитнес-клубы	фитнес-клубы=UNKN
.	.=PNCT

Почему	почему=ADVB,Ques
?	?=PNCT

Традиция	традиция=NOUN,inan,femn,sing,nomn
-	-=PNCT
2	2=UNKN
.	.=PNCT

уррра	уррра=UNKN
!	!=PNCT

проблема	проблема=NOUN,inan,femn,sing,nomn
решилось	решился=VERB,perf,intr,neut,sing,past,indc
за	за=PREP
15	15=UNKN
секунд	секунда=NOUN,inan,femn,plur,gent
.	.=PNCT

http://www.youtube.com/watch?v=4ba1BqJ4S2M&feature=player_embedded	http://www.youtube.com/watch?v=4ba1BqJ4S2M&feature=player_embedded=UNKN

http://www.etsy.com/listing/54263459/orange-ginger-long-feather-earrings	http://www.etsy.com/listing/54263459/orange-ginger-long-feather-earrings=UNKN

На	на=PREP
микроблогах	микроблогах=UNKN
,	,=PNCT
прошу	прошу=VERB,impf,tran,sing,1per,pres,indc
заметить	заметить=INFN,perf,tran
.	.=PNCT

НЯ	ня=UNKN
,	,=PNCT
товарищи	товарищ=NOUN,anim,masc,plur,nomn
!	!=PNCT

3	3=UNKN
.	.=PNCT
Тушар	тушар=UNKN
.	.=PNCT

Дыр	дыра=NOUN,inan,femn,plur,gent
бул	бул=UNKN
щыл	щыл=UNKN

убешщур	убешщур=UNKN

вы	вы=NPRO,2per,plur,nomn
со	со=PREP
бу	бу=UNKN

р	р=UNKN
л	л=UNKN
эз	эз=UNKN

Я	я=NPRO,1per,sing,nomn
надеюсь	надеюсь=VERB,impf,intr,sing,1per,pres,indc
.	.=PNCT

)	)=PNCT
(	(=PNCT

—	—=UNKN
Почему	почему=ADVB,Ques
Вы	вы=NPRO,2per,plur,nomn
не	не=PRCL
попытались	попытался=VERB,perf,intr,plur,past,indc
договориться	договориться=INFN,perf,intr
с	с=PREP
«	«=UNKN
ВКонтакте	вконтакте=UNKN
»	»=UNKN
?	?=PNCT

—	—=UNKN
Вы	вы=NPRO,2per,plur,nomn
готовы	готов=ADJS,Qual,plur
к	к=PREP
переговорам	переговоры=NOUN,inan,GNdr,Pltm,plur,datv
с	с=PREP
«	«=UNKN
ВКонтакте	вконтакте=UNKN
»	»=UNKN
?	?=PNCT

Почему	почему=ADVB,Ques
?	?=PNCT

Почему	почему=ADVB,Ques
50	50=UNKN
?	?=PNCT

Тысячник	тысячник=NOUN,anim,masc,sing,nomn
!!!	!!!=PNCT

Почему	почему=ADVB,Ques
?	?=PNCT

Вести	вести=INFN,impf,tran
модерацию	модерацию=UNKN
.	.=PNCT

Вариантов	вариант=NOUN,inan,masc,plur,gent
много	много=ADVB,Prdx
.	.=PNCT

—	—=UNKN
Почему	почему=ADVB,Ques
Вы	вы=NPRO,2per,plur,nomn
улыбаетесь	улыбаюсь=VERB,impf,intr,plur,2per,pres,indc
?	?=PNCT

Забудьте	забыл=VERB,perf,tran,plur,impr,excl
.	.=PNCT

Компьютеров	компьютер=NOUN,inan,masc,plur,gent
.	.=PNCT

Не	не=PRCL
верю	верю=VERB,impf,intr,sing,1per,pres,indc
.	.=PNCT

Нету	нету=PRED,pres
.	.=PNCT

—	—=UNKN
Рекламу	реклама=NOUN,inan,femn,sing,accs
?	?=PNCT

—	—=UNKN
Откуда	откуда=ADVB,Ques
Земфира	земфира=NOUN,anim,femn,Name,sing,nomn
взялась	взялся=VERB,perf,intr,femn,sing,past,indc
?	?=PNCT

Попрошайничать	попрошайничать=INFN,impf,intr
?	?=PNCT

Грецию	греция=NOUN,inan,femn,Sgtm,Geox,sing,accs
спасут	спас=VERB,perf,tran,plur,3per,futr,indc

нам	мы=NPRO,1per,plur,datv
3	3=UNKN
месяца	месяц=NOUN,inan,masc,sing,gent

Мамаша	мамаша=NOUN,anim,femn,sing,nomn
играется	играюсь=VERB,impf,intr,sing,3per,pres,indc
.	.=PNCT

«	«=UNKN
Ура	ура=INTJ
!	!=PNCT

Победа	победа=NOUN,inan,femn,sing,nomn
!	!=PNCT

Я	я=NPRO,1per,sing,nomn
горд	горд=ADJS,masc,sing
за	за=PREP
свою	свой=ADJF,Apro,femn,sing,accs
страну	страна=NOUN,inan,femn,sing,accs
,	,=PNCT
за	за=PREP
Россию	россия=NOUN,inan,femn,Sgtm,Geox,sing,accs
.	.=PNCT

Мы	мы=NPRO,1per,plur,nomn
хотели	хочу=VERB,impf,tran,plur,past,indc
видеть	видеть=INFN,impf,tran
,	,=PNCT
что	что=CONJ
реформистская	реформистский=ADJF,femn,sing,nomn
,	,=PNCT
демократическая	демократический=ADJF,femn,sing,nomn
,	,=PNCT
капиталистическая	капиталистический=ADJF,femn,sing,nomn
Россия	россия=NOUN,inan,femn,Sgtm,Geox,sing,nomn
действует	действую=VERB,impf,intr,sing,3per,pres,indc
в	в=PREP
сотрудничестве	сотрудничество=NOUN,inan,neut,sing,loct
с	с=PREP
Западом	запад=NOUN,inan,masc,Geox,sing,ablt
.	.=PNCT

-	-=PNCT
сказала	сказал=VERB,perf,tran,femn,sing,past,indc
Меркель	меркель=UNKN
.	.=PNCT

-	-=PNCT
сказала	сказал=VERB,perf,tran,femn,sing,past,indc
Меркель	меркель=UNKN
.	.=PNCT

-	-=PNCT
сказал	сказал=VERB,perf,tran,masc,sing,past,indc
министр	министр=NOUN,anim,masc,sing,nomn
.	.=PNCT

«	«=UNKN
Почему	почему=ADVB,Ques
он	он=NPRO,masc,3per,sing,nomn
не	не=PRCL
хочет	хочу=VERB,impf,tran,sing,3per,pres,indc
играть	играть=INFN,impf,tran
с	с=PREP
Крамником	крамник=NOUN,anim,masc,Sgtm,Surn,sing,ablt
?	?=PNCT
»	»=UNKN
,	,=PNCT

он	он=NPRO,masc,3per,sing,nomn
отвечал	отвечаю=VERB,impf,intr,masc,sing,past,indc
:	:=PNCT

—	—=UNKN
сказал	сказал=VERB,perf,tran,masc,sing,past,indc
К	к=PREP
.	.=PNCT
Н	н=UNKN
.	.=PNCT
Илюмжинов	илюмжинов=NOUN,anim,masc,Sgtm,Surn,sing,nomn
.	.=PNCT

Спонсором	спонсор=NOUN,anim,masc,sing,ablt
музея	музей=NOUN,inan,masc,sing,gent
стала	стал=VERB,perf,intr,femn,sing,past,indc
швейцарская	швейцарский=ADJF,femn,sing,nomn
компания	компания=NOUN,inan,femn,sing,nomn
Nestle	Nestle=UNKN
.	.=PNCT

НАСА	наса=UNKN

Роскосмос	роскосмос=UNKN

-	-=PNCT
заявил	заявил=VERB,perf,tran,masc,sing,past,indc
Осборн	осборн=UNKN
.	.=PNCT

-	-=PNCT
заявил	заявил=VERB,perf,tran,masc,sing,past,indc
представитель	представитель=NOUN,anim,masc,sing,nomn
Еврокомиссии	еврокомиссии=UNKN
.	.=PNCT

-	-=PNCT
говорилось	говорюсь=VERB,impf,intr,neut,sing,past,indc
в	в=PREP
заявлении	заявление=NOUN,inan,neut,sing,loct
Еврокомиссии	еврокомиссии=UNKN
.	.=PNCT

шо	шо=UNKN
за	за=PREP
нафиг	нафиг=UNKN
?	?=PNCT

не	не=PRCL
,	,=PNCT
не	не=PRCL
,	,=PNCT
я	я=NPRO,1per,sing,nomn
не	не=PRCL
ругаюсь	ругаюсь=VERB,impf,intr,sing,1per,pres,indc
на	на=PREP
даташыты	даташыты=UNKN
.	.=PNCT

от	от=PREP
эмоций	эмоция=NOUN,inan,femn,plur,gent

процентов	процент=NOUN,inan,masc,plur,gent
на	на=PREP
20	20=UNKN
.	.=PNCT

пришлось	пришёлся=VERB,perf,intr,neut,sing,past,indc
аварийно	авариен=ADJS,Qual,neut,sing
перезагружаться	перезагружаться=INFN,impf,intr
.	.=PNCT

физкультура	физкультура=NOUN,inan,femn,sing,nomn

погода	погода=NOUN,inan,femn,sing,nomn
отличная	отличный=ADJF,Qual,femn,sing,nomn
.	.=PNCT

тест-драйв	тест-драйв=UNKN

если	если=CONJ
оно	оно=NPRO,neut,3per,sing,nomn
не	не=PRCL
растает	растаял=VERB,perf,intr,sing,3per,futr,indc
.	.=PNCT

навеяно	навеян=PRTS,perf,past,pssv,neut,sing
рекламой	реклама=NOUN,inan,femn,sing,ablt
кредиток	кредитка=NOUN,inan,femn,plur,gent
:	:=PNCT

Can	Can=UNKN
/	/=PNCT
Can't	Can't=UNKN

Симпсоны	симпсоны=NOUN,anim,GNdr,Ms-f,Pltm,Surn,plur,nomn

Стругацкие	стругацкие=NOUN,anim,GNdr,Ms-f,Pltm,Surn,plur,nomn

№	№=UNKN
41	41=UNKN
.	.=PNCT

26	26=UNKN
февраля	февраль=NOUN,inan,masc,sing,gent
.	.=PNCT

(	(=PNCT
http://imwerden.de/cat/modules.php?name=books&pa=showbook&pid=2694	http://imwerden.de/cat/modules.php?name=books&pa=showbook&pid=2694=UNKN

http://ruslit.traumlibrary.net/page/goltschmidt-poslania.html	http://ruslit.traumlibrary.net/page/goltschmidt-poslania.html=UNKN
)	)=PNCT

Объездил	объездил=VERB,perf,tran,masc,sing,past,indc
всю	весь=ADJF,Apro,femn,sing,accs
Россию	россия=NOUN,inan,femn,Sgtm,Geox,sing,accs
-	-=PNCT
вплоть	вплоть=ADVB
до	до=PREP
Камчатки	камчатка=NOUN,inan,femn,Sgtm,Geox,sing,gent
-	-=PNCT
с	с=PREP
футуристическими	футуристический=ADJF,plur,ablt
лекциями	лекция=NOUN,inan,femn,plur,ablt
.	.=PNCT

(	(=PNCT
http://fantlab.ru/autor3505	http://fantlab.ru/autor3505=UNKN
)	)=PNCT

3	3=UNKN
.	.=PNCT
Стругацкие	стругацкие=NOUN,anim,GNdr,Ms-f,Pltm,Surn,plur,nomn
.	.=PNCT

–	–=UNKN
1992	1992=UNKN
.	.=PNCT

–	–=UNKN
№	№=UNKN
1	1=UNKN
.	.=PNCT

(	(=PNCT
http://rusf.ru/abs/books/esit_ins.htm	http://rusf.ru/abs/books/esit_ins.htm=UNKN
)	)=PNCT

Почему	почему=ADVB,Ques
именно	именно=PRCL
на	на=PREP
эту	этот=ADJF,Apro,femn,sing,accs
тему	тема=NOUN,inan,femn,sing,accs
?	?=PNCT

***	***=UNKN

***	***=UNKN

***	***=UNKN

Геродот	геродот=UNKN

***	***=UNKN

Упс	упс=UNKN
.	.=PNCT

Петербурге	петербург=NOUN,inan,masc,Geox,sing,loct
?	?=PNCT

—	—=UNKN
Не	не=PRCL
знаю	знаю=VERB,impf,tran,sing,1per,pres,indc
.	.=PNCT

Какалавры	какалавры=UNKN

Ебать	ебать=UNKN
-	-=PNCT
колотить	колотить=INFN,impf,tran
,	,=PNCT
пиздец	пиздец=UNKN
.	.=PNCT

Зачем	зачем=ADVB,Ques,Prdx
?	?=PNCT

Хуюшки	хуюшки=UNKN
!	!=PNCT

Боженька	боженька=NOUN,anim,masc,sing,nomn

Где	где=ADVB,Ques
,	,=PNCT
блять	блять=UNKN
?	?=PNCT
!	!=PNCT

Заебись	заебись=UNKN
.	.=PNCT

29	29=UNKN
.	.=PNCT

Неспокойствие	неспокойствие=UNKN
.	.=PNCT

зачем	зачем=ADVB,Ques,Prdx
живёшь	живу=VERB,impf,intr,sing,2per,pres,indc
?	?=PNCT
..	..=PNCT

Робосекс	робосекс=UNKN

Robot	Robot=UNKN
Sex	Sex=UNKN
Roxxxy	Roxxxy=UNKN
заменит	заменил=VERB,perf,tran,sing,3per,futr,indc
любовницу	любовница=NOUN,anim,femn,sing,accs
?	?=PNCT

R	R=UNKN
.	.=PNCT
I	I=UNKN
.	.=PNCT
P	P=UNKN
.	.=PNCT

"	"=PNCT
Развалили	развалил=VERB,perf,tran,plur,past,indc
страну	страна=NOUN,inan,femn,sing,accs
...	...=PNCT
"	"=PNCT

Facebook	Facebook=UNKN
не	не=PRCL
купил	купил=VERB,perf,tran,masc,sing,past,indc
Twitter	Twitter=UNKN

«	«=UNKN
Дуров	дуров=NOUN,anim,masc,Sgtm,Surn,sing,nomn
включил	включил=VERB,perf,tran,masc,sing,past,indc
обратку	обратку=UNKN
!	!=PNCT

Не	не=PRCL
убудет	убыл=VERB,perf,intr,sing,3per,futr,indc

—	—=UNKN
цитирует	цитирую=VERB,impf,tran,sing,3per,pres,indc
Евкурова	евкурова=UNKN
NEWSru.com	NEWSru.com=UNKN
.	.=PNCT

YouTube	YouTube=UNKN
занялся	занялся=VERB,perf,intr,masc,sing,past,indc
журналистикой	журналистика=NOUN,inan,femn,sing,ablt

7	7=UNKN
июля	июль=NOUN,inan,masc,sing,gent
2010	2010=UNKN

8	8=UNKN
июля	июль=NOUN,inan,masc,sing,gent
2010	2010=UNKN

6	6=UNKN
июля	июль=NOUN,inan,masc,sing,gent
2010	2010=UNKN

8	8=UNKN
июля	июль=NOUN,inan,masc,sing,gent
2010	2010=UNKN

Facebook	Facebook=UNKN
вступился	вступился=VERB,perf,intr,masc,sing,past,indc
за	за=PREP
Эво	эво=UNKN
Моралеса	моралеса=UNKN

Представитель	представитель=NOUN,anim,masc,sing,nomn
Минтранса	минтранс=NOUN,inan,masc,Orgn,sing,gent
Тимур	тимур=NOUN,anim,masc,Name,sing,nomn
Хикматов	хикматов=UNKN
от	от=PREP
комментариев	комментарий=NOUN,inan,masc,plur,gent
отказался	отказался=VERB,perf,intr,masc,sing,past,indc
,	,=PNCT
пишет	пишу=VERB,impf,tran,sing,3per,pres,indc
газета	газета=NOUN,inan,femn,sing,nomn
.	.=PNCT

34	34=UNKN
.	.=PNCT
Государственная	государственный=ADJF,femn,sing,nomn
фельдъегерская	фельдъегерский=ADJF,femn,sing,nomn
служба	служба=NOUN,inan,femn,sing,nomn

Полную	полный=ADJF,Qual,femn,sing,accs
версию	версия=NOUN,inan,femn,sing,accs
рейтинга	рейтинг=NOUN,inan,masc,sing,gent
в	в=PREP
виде	вид=NOUN,inan,masc,sing,loc1
doc-файла	doc-файла=UNKN
с	с=PREP
перечислением	перечисление=NOUN,inan,neut,sing,ablt
всех	весь=ADJF,Apro,plur,gent
конфликтов	конфликт=NOUN,inan,masc,plur,gent
можно	можно=PRED,pres
скачать	скачать=INFN,perf,tran
с	с=PREP
сайта	сайт=NOUN,inan,masc,sing,gent
«	«=UNKN
Ведомостей	ведомость=NOUN,inan,femn,plur,gent
»	»=UNKN
.	.=PNCT

–	–=UNKN
сказал	сказал=VERB,perf,tran,masc,sing,past,indc
Джон	джон=NOUN,anim,masc,Name,sing,nomn
Керри	керри=UNKN
зрителям	зритель=NOUN,anim,masc,plur,datv
.	.=PNCT

–	–=UNKN
отметил	отметил=VERB,perf,tran,masc,sing,past,indc
сенатор	сенатор=NOUN,anim,masc,sing,nomn
Керри	керри=UNKN
.	.=PNCT

«	«=UNKN
Эпоха	эпоха=NOUN,inan,femn,sing,nomn
протеста	протест=NOUN,inan,masc,sing,gent
»	»=UNKN

(	(=PNCT
отсюда	отсюда=ADVB
)	)=PNCT

Symbian	Symbian=UNKN
раскрылась	раскрылся=VERB,perf,intr,femn,sing,past,indc

Дайсон	дайсон=UNKN
жив	жив=ADJS,Qual,masc,sing
!	!=PNCT

«	«=UNKN
Вконтакте	вконтакте=UNKN
»	»=UNKN
—	—=UNKN
«	«=UNKN
Одноклассники	одноклассник=NOUN,anim,masc,plur,nomn
»	»=UNKN
—	—=UNKN
1	1=UNKN
:	:=PNCT
1	1=UNKN

–	–=UNKN
поясняет	поясняю=VERB,impf,tran,sing,3per,pres,indc
Мокдад	мокдад=UNKN
.	.=PNCT

Они	они=NPRO,3per,plur,nomn
доставлены	доставлен=PRTS,perf,past,pssv,plur
в	в=PREP
больницу	больница=NOUN,inan,femn,sing,accs
.	.=PNCT

По	по=PREP
поводу	повод=NOUN,inan,masc,sing,datv
беспорядков	беспорядок=NOUN,inan,masc,plur,gent
высказался	высказался=VERB,perf,intr,masc,sing,past,indc
мэр	мэр=NOUN,anim,masc,sing,nomn
Ванкувера	ванкувер=NOUN,inan,masc,Geox,sing,gent
Грегор	грегор=NOUN,anim,masc,Name,sing,nomn
Робертсон	робертсон=UNKN
.	.=PNCT

—	—=UNKN
заявил	заявил=VERB,perf,tran,masc,sing,past,indc
он	он=NPRO,masc,3per,sing,nomn
.	.=PNCT

Джон	джон=NOUN,anim,masc,Name,sing,nomn
Маккейн	маккейн=UNKN
:	:=PNCT

—	—=UNKN
Сейчас	сейчас=ADVB
.	.=PNCT

Близнецы	близнец=NOUN,anim,masc,plur,nomn
…	…=UNKN

Близнецы	близнец=NOUN,anim,masc,plur,nomn
…	…=UNKN

—	—=UNKN
сказал	сказал=VERB,perf,tran,masc,sing,past,indc
Затворник	затворник=NOUN,anim,masc,sing,nomn
.	.=PNCT

В	в=PREP
.	.=PNCT
Пелевин	пелевин=NOUN,anim,masc,Sgtm,Surn,sing,nomn
.	.=PNCT

Бр-р-р-р	бр-р-р-р=UNKN
.	.=PNCT

Зыжынщынвсеххх	зыжынщынвсеххх=UNKN
!	!=PNCT
..	..=PNCT

Повбывав	повбывав=UNKN
бы	бы=PRCL
.	.=PNCT

18	18=UNKN
человек	человек=NOUN,anim,masc,plur,gent
погибли	погиб=VERB,perf,intr,plur,past,indc
в	в=PREP
результате	результат=NOUN,inan,masc,sing,loct
взрыва	взрыв=NOUN,inan,masc,sing,gent
во	во=PREP
Владикавказе	владикавказ=NOUN,inan,masc,Geox,sing,loct

http://community.livejournal.com/sup_ru/384680.html	http://community.livejournal.com/sup_ru/384680.html=UNKN

—	—=UNKN
сказал	сказал=VERB,perf,tran,masc,sing,past,indc
он	он=NPRO,masc,3per,sing,nomn
.	.=PNCT

Queen	Queen=UNKN
в	в=PREP
Харькове	харьков=NOUN,inan,masc,Geox,sing,loct
12	12=UNKN
сентября	сентябрь=NOUN,inan,masc,sing,gent

Символически	символически=UNKN
отстреливать	отстреливать=INFN,impf,tran
,	,=PNCT
разумеется	разумеюсь=VERB,impf,intr,sing,3per,pres,indc
.	.=PNCT

Опять	опять=ADVB
фестивалил	фестивалил=UNKN
.	.=PNCT

литература	литература=NOUN,inan,femn,sing,nomn

Another	Another=UNKN
piece	piece=UNKN
of	of=UNKN
experience	experience=UNKN

Special	Special=UNKN
thanks	thanks=UNKN
to	to=UNKN
Major	Major=UNKN
Auto	Auto=UNKN
Mazda	Mazda=UNKN
service	service=UNKN
department	department=UNKN
.	.=PNCT

"	"=PNCT
Я	я=NPRO,1per,sing,nomn
НИКОГДА	никогда=ADVB
,	,=PNCT
слышите	слышу=VERB,impf,tran,plur,2per,pres,indc
?	?=PNCT
,	,=PNCT

Достал	достал=VERB,perf,tran,masc,sing,past,indc
таки	таки=PRCL
.	.=PNCT

Back	Back=UNKN
to	to=UNKN
the	the=UNKN
US	US=UNKN
...	...=PNCT
!	!=PNCT

back	back=UNKN
to	to=UNKN
the	the=UNKN
US	US=UNKN
...	...=PNCT
!	!=PNCT

back	back=UNKN
to	to=UNKN
the	the=UNKN
USSR	USSR=UNKN
!	!=PNCT

http://lenta.ru/articles/2009/07/27/kopp/	http://lenta.ru/articles/2009/07/27/kopp/=UNKN

Разослано	разослан=PRTS,perf,past,pssv,neut,sing
писем	письмо=NOUN,inan,neut,plur,gent
-	-=PNCT
347	347=UNKN
590	590=UNKN
389	389=UNKN
(	(=PNCT
100	100=UNKN
%	%=UNKN
)	)=PNCT
.	.=PNCT

www.livejournal.com/customize/options.bml?group=customcss	www.livejournal.com/customize/options.bml?group=customcss=UNKN

#	#=UNKN
ad-leaderboard	ad-leaderboard=UNKN
{	{=UNKN

display	display=UNKN
:	:=PNCT
none	none=UNKN
;	;=PNCT
}	}=UNKN

#	#=UNKN
ad-5linkunit	ad-5linkunit=UNKN
{	{=UNKN

display	display=UNKN
:	:=PNCT
none	none=UNKN
;	;=PNCT
}	}=UNKN

.	.=PNCT
adv	adv=UNKN
{	{=UNKN
display	display=UNKN
:	:=PNCT
none	none=UNKN
;	;=PNCT
}	}=UNKN

Схабрено	схабрено=UNKN
с	с=PREP
http://habrahabr.ru/blogs/i_am_clever/38426/	http://habrahabr.ru/blogs/i_am_clever/38426/=UNKN

In	In=UNKN
memoriam	memoriam=UNKN
.	.=PNCT

Она	она=NPRO,femn,3per,sing,nomn
могла	могу=VERB,impf,intr,femn,sing,past,indc
бы	бы=PRCL
стать	стать=INFN,perf,intr
актрисой	актриса=NOUN,anim,femn,sing,ablt
.	.=PNCT

Google	Google=UNKN
Inside	Inside=UNKN

Когда-нибудь	когда-нибудь=ADVB
.	.=PNCT

Если	если=CONJ
подождать	подождать=INFN,perf,tran
.	.=PNCT

Он	он=NPRO,masc,3per,sing,nomn
бесплатен	бесплатен=ADJS,Qual,masc,sing
.	.=PNCT

Очень	очень=ADVB
не	не=PRCL
хочется	хотелось=VERB,impf,intr,Impe,sing,pres,indc
верить	верить=INFN,impf,intr
британцу	британец=NOUN,anim,masc,sing,datv
.	.=PNCT

В	в=PREP
Стокгольме	стокгольм=NOUN,inan,masc,Geox,sing,loct
открылась	открылся=VERB,perf,intr,femn,sing,past,indc
Нобелевская	нобелевский=ADJF,femn,sing,nomn
неделя	неделя=NOUN,inan,femn,sing,nomn
—	—=UNKN
109-я	109-я=UNKN
по	по=PREP
счёту	счёт=NOUN,inan,masc,sing,datv

За	за=PREP
4	4=UNKN
круга	круг=NOUN,inan,masc,sing,gent
до	до=PREP
финиша	финиш=NOUN,inan,masc,sing,gent
Алонсо	алонсо=UNKN
вступил	вступил=VERB,perf,intr,masc,sing,past,indc
в	в=PREP
борьбу	борьба=NOUN,inan,femn,Sgtm,sing,accs
за	за=PREP
восьмую	восьмой=ADJF,Anum,femn,sing,accs
позицию	позиция=NOUN,inan,femn,sing,accs
с	с=PREP
Петровым	петров=NOUN,anim,masc,Sgtm,Surn,sing,ablt
.	.=PNCT

-	-=PNCT
заявляют	заявляю=VERB,impf,tran,plur,3per,pres,indc
в	в=PREP
ведомстве	ведомство=NOUN,inan,neut,sing,loct
.	.=PNCT

«	«=UNKN
Если	если=CONJ
Президент	президент=NOUN,anim,masc,sing,nomn
согласится	согласился=VERB,perf,intr,sing,3per,futr,indc
,	,=PNCT

-	-=PNCT
сказал	сказал=VERB,perf,tran,masc,sing,past,indc
Кирилл	кирилл=NOUN,anim,masc,Name,sing,nomn
.	.=PNCT

Дети	ребёнок=NOUN,anim,masc,plur,nomn
до	до=PREP
18	18=UNKN
не	не=PRCL
обслуживаются	обслуживаюсь=VERB,impf,intr,plur,3per,pres,indc
.	.=PNCT

Почему	почему=ADVB,Ques
я	я=NPRO,1per,sing,nomn
дура	дура=NOUN,anim,femn,sing,nomn
?	?=PNCT

Здравствуй	здравствую=VERB,impf,intr,sing,impr,excl
,	,=PNCT
папа	папа=NOUN,anim,masc,sing,nomn
!	!=PNCT

—	—=UNKN
добавил	добавил=VERB,perf,tran,masc,sing,past,indc
режиссёр	режиссёр=NOUN,anim,masc,sing,nomn
.	.=PNCT

—	—=UNKN
заявила	заявил=VERB,perf,tran,femn,sing,past,indc
актриса	актриса=NOUN,anim,femn,sing,nomn
.	.=PNCT

—	—=UNKN
цитирует	цитирую=VERB,impf,tran,sing,3per,pres,indc
NEWSru.com	NEWSru.com=UNKN
Умарова	умарова=UNKN
.	.=PNCT

ЖЖ	жж=UNKN
сломался	сломался=VERB,perf,intr,masc,sing,past,indc
,	,=PNCT
LJ	LJ=UNKN
выстоял	выстоял=VERB,perf,tran,masc,sing,past,indc

—	—=UNKN
сказала	сказал=VERB,perf,tran,femn,sing,past,indc
она	она=NPRO,femn,3per,sing,nomn
.	.=PNCT

Культурная	культурный=ADJF,Qual,femn,sing,nomn
некультура	некультура=UNKN

Где	где=ADVB,Ques
разместить	разместить=INFN,perf,tran
отечественную	отечественный=ADJF,femn,sing,accs
Кремниевую	кремниевый=ADJF,Qual,femn,sing,accs
долину	долина=NOUN,inan,femn,sing,accs
?	?=PNCT

—	—=UNKN
цитирует	цитирую=VERB,impf,tran,sing,3per,pres,indc
РБК	рбк=UNKN
Фурсенко	фурсенко=UNKN
.	.=PNCT

—	—=UNKN
сказал	сказал=VERB,perf,tran,masc,sing,past,indc
он	он=NPRO,masc,3per,sing,nomn
.	.=PNCT

BDSM-хоррор	BDSM-хоррор=UNKN

Они	они=NPRO,3per,plur,nomn
плавятся	плавлюсь=VERB,impf,intr,plur,3per,pres,indc
.	.=PNCT

Объясняю	объясняю=VERB,impf,tran,sing,1per,pres,indc
.	.=PNCT

Раньше	раньше=COMP
говорили	говорю=VERB,impf,tran,plur,past,indc
:	:=PNCT

Она	она=NPRO,femn,3per,sing,nomn
утонула	утонул=VERB,perf,intr,femn,sing,past,indc
.	.=PNCT

Рецензируют	рецензирую=VERB,impf,tran,plur,3per,pres,indc
какую-то	какой-то=ADJF,Apro,femn,sing,accs
лежалую	лежалый=ADJF,femn,sing,accs
ерунду	ерунда=NOUN,inan,femn,Sgtm,sing,accs
.	.=PNCT

BDSM-хоррор	BDSM-хоррор=UNKN
.	.=PNCT

Заканчивает	заканчиваю=VERB,impf,tran,sing,3per,pres,indc
новую	новый=ADJF,Qual,femn,sing,accs
книгу	книга=NOUN,inan,femn,sing,accs
Илья	илья=NOUN,anim,masc,Sgtm,Name,sing,nomn
Бояшов	бояшов=UNKN
.	.=PNCT

В	в=PREP
изучении	изучение=NOUN,inan,neut,sing,loct
Хаскела	хаскела=UNKN
движусь	двигаюсь=VERB,impf,intr,sing,1per,pres,indc,Infr
очень	очень=ADVB
потихоньку	потихоньку=ADVB
:)	:)=PNCT

UPD	UPD=UNKN
.	.=PNCT

x	x=UNKN
=	==UNKN
10	10=UNKN

x	x=UNKN
=	==UNKN
11	11=UNKN

Умница	умница=NOUN,anim,femn,Ms-f,sing,nomn
Mr	Mr=UNKN
.	.=PNCT
Freeman	Freeman=UNKN

—	—=UNKN
Автор	автор=NOUN,anim,masc,sing,nomn
—	—=UNKN
я	я=NPRO,1per,sing,nomn
.	.=PNCT

http://community.livejournal.com/ru_cms/240682.html	http://community.livejournal.com/ru_cms/240682.html=UNKN

погулял	погулял=VERB,perf,intr,masc,sing,past,indc
сегодня	сегодня=ADVB
со	со=PREP
своими	свой=ADJF,Apro,plur,ablt
тараканами	таракан=NOUN,anim,masc,plur,ablt
